stage,match_id,team1,team2,scoreline,winner,count,scoreline_pct,matchup_runs,matchup_pct,simulation_runs,simulation_seed
final,M63,Argentina,France,1-0,Argentina,7013,13.0,53914,53.9,100000,20260605
final,M63,Argentina,France,2-0,Argentina,5058,9.4,53914,53.9,100000,20260605
final,M63,Argentina,France,1-1,Argentina,4960,9.2,53914,53.9,100000,20260605
final,M63,Argentina,France,2-1,Argentina,4852,9.0,53914,53.9,100000,20260605
final,M63,Argentina,France,0-1,France,4601,8.5,53914,53.9,100000,20260605
final,M63,Argentina,France,0-0,Argentina,3463,6.4,53914,53.9,100000,20260605
final,M63,Argentina,France,1-2,France,3299,6.1,53914,53.9,100000,20260605
final,M63,Argentina,France,3-0,Argentina,2363,4.4,53914,53.9,100000,20260605
final,M63,Argentina,France,0-2,France,2292,4.3,53914,53.9,100000,20260605
final,M63,Argentina,France,3-1,Argentina,2282,4.2,53914,53.9,100000,20260605
final,M63,Argentina,France,1-1,France,1875,3.5,53914,53.9,100000,20260605
final,M63,Argentina,France,2-2,Argentina,1745,3.2,53914,53.9,100000,20260605
final,M63,Argentina,France,0-0,France,1376,2.6,53914,53.9,100000,20260605
final,M63,Argentina,France,1-3,France,1112,2.1,53914,53.9,100000,20260605
final,M63,Argentina,France,3-2,Argentina,1107,2.1,53914,53.9,100000,20260605
final,M63,Argentina,France,4-0,Argentina,879,1.6,53914,53.9,100000,20260605
final,M63,Argentina,France,4-1,Argentina,862,1.6,53914,53.9,100000,20260605
final,M63,Argentina,France,0-3,France,718,1.3,53914,53.9,100000,20260605
final,M63,Argentina,France,2-3,France,713,1.3,53914,53.9,100000,20260605
final,M63,Argentina,France,2-2,France,678,1.3,53914,53.9,100000,20260605
final,M63,Argentina,France,4-2,Argentina,417,0.8,53914,53.9,100000,20260605
final,M63,Argentina,France,3-3,Argentina,265,0.5,53914,53.9,100000,20260605
final,M63,Argentina,France,1-4,France,259,0.5,53914,53.9,100000,20260605
final,M63,Argentina,France,5-1,Argentina,256,0.5,53914,53.9,100000,20260605
final,M63,Argentina,France,5-0,Argentina,244,0.5,53914,53.9,100000,20260605
final,M63,Argentina,France,2-4,France,171,0.3,53914,53.9,100000,20260605
final,M63,Argentina,France,0-4,France,165,0.3,53914,53.9,100000,20260605
final,M63,Argentina,France,4-3,Argentina,147,0.3,53914,53.9,100000,20260605
final,M63,Argentina,France,5-2,Argentina,116,0.2,53914,53.9,100000,20260605
final,M63,Argentina,France,3-4,France,80,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,3-3,France,67,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,1-5,France,58,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,6-1,Argentina,58,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,6-0,Argentina,55,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,2-5,France,45,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,6-2,Argentina,39,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,0-5,France,38,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,4-4,Argentina,30,0.1,53914,53.9,100000,20260605
final,M63,Argentina,France,5-3,Argentina,25,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,3-5,France,21,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,7-0,Argentina,12,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,2-6,France,11,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,5-4,Argentina,11,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,7-1,Argentina,11,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,4-4,France,9,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,6-3,Argentina,9,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,1-6,France,8,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,4-5,France,8,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,0-6,France,7,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,6-4,Argentina,3,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,8-0,Argentina,3,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,0-7,France,2,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,1-7,France,2,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,7-2,Argentina,2,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,7-3,Argentina,2,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,8-2,Argentina,2,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,2-7,France,1,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,3-6,France,1,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,5-5,Argentina,1,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,5-5,France,1,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,5-6,France,1,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,7-4,Argentina,1,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,8-1,Argentina,1,0.0,53914,53.9,100000,20260605
final,M63,Argentina,France,9-0,Argentina,1,0.0,53914,53.9,100000,20260605
final,M63,Argentina,Morocco,1-0,Argentina,3273,15.3,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,2-0,Argentina,3049,14.2,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,1-1,Argentina,1935,9.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,2-1,Argentina,1917,8.9,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,0-0,Argentina,1760,8.2,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,3-0,Argentina,1742,8.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,0-1,Morocco,1251,5.8,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,3-1,Argentina,1127,5.3,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,4-0,Argentina,782,3.7,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,1-2,Morocco,741,3.5,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,2-2,Argentina,572,2.7,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,4-1,Argentina,540,2.5,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,0-2,Morocco,419,2.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,3-2,Argentina,400,1.9,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,5-0,Argentina,255,1.2,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,1-1,Morocco,205,1.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,5-1,Argentina,192,0.9,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,4-2,Argentina,177,0.8,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,0-0,Morocco,170,0.8,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,2-3,Morocco,128,0.6,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,1-3,Morocco,124,0.6,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,0-3,Morocco,89,0.4,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,6-0,Argentina,83,0.4,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,2-2,Morocco,73,0.3,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,3-3,Argentina,70,0.3,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,5-2,Argentina,55,0.3,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,6-1,Argentina,51,0.2,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,4-3,Argentina,36,0.2,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,7-0,Argentina,23,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,1-4,Morocco,22,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,0-4,Morocco,19,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,2-4,Morocco,19,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,7-1,Argentina,18,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,3-4,Morocco,16,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,6-2,Argentina,15,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,5-3,Argentina,13,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,4-4,Argentina,12,0.1,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,3-3,Morocco,10,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,2-5,Morocco,7,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,8-0,Argentina,6,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,6-3,Argentina,5,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,7-2,Argentina,5,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,1-5,Morocco,4,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,5-4,Argentina,3,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,9-0,Argentina,2,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,0-5,Morocco,1,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,3-5,Morocco,1,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,4-5,Morocco,1,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,7-3,Argentina,1,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,7-4,Argentina,1,0.0,21421,21.4,100000,20260605
final,M63,Argentina,Morocco,8-2,Argentina,1,0.0,21421,21.4,100000,20260605
final,M63,Croatia,France,0-1,France,2140,12.1,17709,17.7,100000,20260605
final,M63,Croatia,France,1-0,Croatia,1607,9.1,17709,17.7,100000,20260605
final,M63,Croatia,France,1-2,France,1574,8.9,17709,17.7,100000,20260605
final,M63,Croatia,France,0-2,France,1554,8.8,17709,17.7,100000,20260605
final,M63,Croatia,France,1-1,France,1516,8.6,17709,17.7,100000,20260605
final,M63,Croatia,France,2-1,Croatia,1157,6.5,17709,17.7,100000,20260605
final,M63,Croatia,France,0-0,France,1100,6.2,17709,17.7,100000,20260605
final,M63,Croatia,France,2-0,Croatia,789,4.5,17709,17.7,100000,20260605
final,M63,Croatia,France,0-3,France,722,4.1,17709,17.7,100000,20260605
final,M63,Croatia,France,1-3,France,716,4.0,17709,17.7,100000,20260605
final,M63,Croatia,France,1-1,Croatia,699,3.9,17709,17.7,100000,20260605
final,M63,Croatia,France,2-2,France,567,3.2,17709,17.7,100000,20260605
final,M63,Croatia,France,0-0,Croatia,473,2.7,17709,17.7,100000,20260605
final,M63,Croatia,France,2-3,France,407,2.3,17709,17.7,100000,20260605
final,M63,Croatia,France,3-1,Croatia,380,2.1,17709,17.7,100000,20260605
final,M63,Croatia,France,2-2,Croatia,291,1.6,17709,17.7,100000,20260605
final,M63,Croatia,France,3-0,Croatia,278,1.6,17709,17.7,100000,20260605
final,M63,Croatia,France,3-2,Croatia,271,1.5,17709,17.7,100000,20260605
final,M63,Croatia,France,0-4,France,266,1.5,17709,17.7,100000,20260605
final,M63,Croatia,France,1-4,France,247,1.4,17709,17.7,100000,20260605
final,M63,Croatia,France,2-4,France,146,0.8,17709,17.7,100000,20260605
final,M63,Croatia,France,4-1,Croatia,111,0.6,17709,17.7,100000,20260605
final,M63,Croatia,France,4-0,Croatia,92,0.5,17709,17.7,100000,20260605
final,M63,Croatia,France,3-3,France,88,0.5,17709,17.7,100000,20260605
final,M63,Croatia,France,0-5,France,77,0.4,17709,17.7,100000,20260605
final,M63,Croatia,France,4-2,Croatia,76,0.4,17709,17.7,100000,20260605
final,M63,Croatia,France,1-5,France,65,0.4,17709,17.7,100000,20260605
final,M63,Croatia,France,2-5,France,43,0.2,17709,17.7,100000,20260605
final,M63,Croatia,France,3-3,Croatia,42,0.2,17709,17.7,100000,20260605
final,M63,Croatia,France,3-4,France,41,0.2,17709,17.7,100000,20260605
final,M63,Croatia,France,4-3,Croatia,26,0.1,17709,17.7,100000,20260605
final,M63,Croatia,France,5-1,Croatia,26,0.1,17709,17.7,100000,20260605
final,M63,Croatia,France,5-0,Croatia,19,0.1,17709,17.7,100000,20260605
final,M63,Croatia,France,0-6,France,17,0.1,17709,17.7,100000,20260605
final,M63,Croatia,France,5-2,Croatia,13,0.1,17709,17.7,100000,20260605
final,M63,Croatia,France,1-6,France,11,0.1,17709,17.7,100000,20260605
final,M63,Croatia,France,3-5,France,11,0.1,17709,17.7,100000,20260605
final,M63,Croatia,France,5-3,Croatia,9,0.1,17709,17.7,100000,20260605
final,M63,Croatia,France,2-6,France,8,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,6-1,Croatia,6,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,4-4,France,5,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,0-7,France,4,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,4-4,Croatia,4,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,4-5,France,3,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,6-2,Croatia,2,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,0-10,France,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,1-7,France,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,1-8,France,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,3-6,France,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,5-4,Croatia,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,5-6,France,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,6-4,Croatia,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,7-0,Croatia,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,7-3,Croatia,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,France,8-1,Croatia,1,0.0,17709,17.7,100000,20260605
final,M63,Croatia,Morocco,1-0,Croatia,801,11.5,6956,7.0,100000,20260605
final,M63,Croatia,Morocco,0-1,Morocco,654,9.4,6956,7.0,100000,20260605
final,M63,Croatia,Morocco,2-0,Croatia,616,8.9,6956,7.0,100000,20260605
final,M63,Croatia,Morocco,2-1,Croatia,614,8.8,6956,7.0,100000,20260605
final,M63,Croatia,Morocco,1-1,Croatia,597,8.6,6956,7.0,100000,20260605
final,M63,Croatia,Morocco,1-2,Morocco,472,6.8,6956,7.0,100000,20260605
